Date	Season	Community
2018-03-14	Summer	S1
2018-04-03	Autumn	S1
2018-04-25	Autumn	S1
2019-07-11	Winter	S2
2019-12-04	Spring	S1
2019-12-17	Spring	S2
2019-08-28	Winter	S2
2019-09-18	Winter	S2
2020-03-04	Summer	S1
2020-03-11	Summer	S1
2019-09-25	Spring	S2
2018-02-20	Summer	S1
2018-03-20	Summer	S1
2018-04-09	Autumn	S1
2018-04-18	Autumn	S1
2018-05-09	Autumn	S1
2018-06-18	Autumn	S1
2019-10-08	Spring	S2
2018-07-24	Winter	S2
2018-10-24	Spring	S2
2018-11-06	Spring	S2
2018-11-20	Spring	S2
2018-12-20	Spring	S2
2019-10-22	Spring	S2
2019-11-06	Spring	S2
2019-11-21	Spring	S2
