Date	amplicon_sample_name	metagenome_sample_name	Community	Season	Year	Z_m	Secchi_m	Temperature_C	pH	k_mS_cm_1	Turbidity_NTU	DO	Percent_DO	TDS	Salinity_ppt	Chla
2018-03-14	57_S54	NA	S1	Summer	2018	19.1	2.1	21.9	7.27	47.8	5.6	6.65	93.1	29.2	31.1	3.7
2018-04-03	59_S55	NA	S1	Autumn	2018	18	1.6	21.1	7.38	47.1	8.2	6.79	92.8	28.7	30.5	2.4
2018-04-25	69_S63	P01-G01-7	S1	Autumn	2018	14	2.4	21.2	8.27	46.9	0	7.55	104	28.6	30.4	3.1
2019-07-11	1-samo1_S1	P01-F03-22	S2	Winter	2019	18	1.2	16.083	8.15	29.9	9.4	8.67	89.8	18.7	19.514	2.1
2019-12-04	10-samo10_S10	P01-G04-31	S1	Spring	2019	18	2.3	19.78	7.99	41	0	7.81	99.8	25	26.17	1.5
2019-12-17	11-samo11_S11	P01-H04-32	S2	Spring	2019	18	1.2	21.62	7.96	41.1	8.8	9.19	121.4	25.1	26.31	0.9
2019-08-28	2-samo2_S2	P01-G03-23	S2	Winter	2019	18	2.6	11.77	8.11	51.8	0	7.94	90.2	31.1	33.33	0.7
2019-09-18	4-samo4_S4	P01-A04-25	S2	Winter	2019	18.392	2.428	15.458	8.102	45.415	1.27	8.064	97.552	27.846	29.304	0.8
2020-03-04	44-samo44_S44	P01-C05-35	S1	Summer	2020	18	1.1	21.87	8.02	50.2	9.8	4.83	67.3	30.2	32.87	0.6
2020-03-11	45-samo45_S45	P01-D05-36	S1	Summer	2020	18	1.1	20.43	8.05	51.7	9.8	5.42	72.8	31	33.88	1.8
2019-09-25	5-samo5_S5	P01-B04-26	S2	Spring	2019	18	1.9	13.86	8.19	37.3	0	8.95	99.1	22.3	23.3	2.1
2018-02-20	53-samo53_S53	P01-A01-1	S1	Summer	2018	17.7	2.63	19.7	7.08	49.7	1.2	7.6	102	30.3	32.4	4.3
2018-03-20	55-samo55_S55	P01-D01-4	S1	Summer	2018	18	1	21.34	7.36	45.2	13.3	6	82.8	27.6	29.2	1.4
2018-04-09	56-samo56_S56	P01-E01-5	S1	Autumn	2018	12.5	3.8	27.8	7.72	35.8	1.7	7.8	104	21.9	22.6	0.5
2018-04-18	57-samo57_S57	P01-F01-6	S1	Autumn	2018	10.7	1.7	20.5	7.36	50.1	2.5	5.7	78	30	32.7	3.7
2018-05-09	58-samo58_S58	NA	S1	Autumn	2018	17.293	1.8	20.2	8.02	50.6	3.6	5.65	77.8	30.3	33	1.4
2018-06-18	59-samo59_S59	P01-A02-9	S1	Autumn	2018	14.995	0.9	19.456	7.97	22.3	30.2	6.62	90.5	13.9	18.681	2.9
2019-10-08	6-samo6_S6	P01-C04-27	S2	Spring	2019	18	1.8	14.4	8.05	49.4	0	8.96	104	30.1	31.886	2.8
2018-07-24	61-samo61_S61	NA	S2	Winter	2018	12.5	2	17.482	7.99	37.1	5.5	8.22	88.5	22.6	23.667	1.3
2018-10-24	66-samo66_S66	P01-H02-16	S2	Spring	2018	18.8	1.6	17.1	8.26	46.2	1.1	7.57	93.9	28.2	29.77	1.5
2018-11-06	67-samo67_S67	P01-A03-17	S2	Spring	2018	17.796	1.3	17.5	8.17	49.3	8.1	6.88	87.2	30.1	32.02	1.5
2018-11-20	68-samo68_S68	P01-B03-18	S2	Spring	2018	18.5	3.3	19.04	8.27	43.9	0	7.87	100.7	26.8	28.22	2.4
2018-12-20	69-samo69_S69	P01-D03-20	S2	Spring	2018	17	3	19.25	8.28	45.7	0.8	7.22	93.3	27.9	29.46	4.9
2019-10-22	7-samo7_S7	P01-D04-28	S2	Spring	2019	18	1.3	14.45	8.02	48.5	1	8.28	96.4	29.6	31.28	1.5
2019-11-06	8-samo8_S8	P01-E04-29	S2	Spring	2019	19	1.7	15.62	8.09	49.3	0	7.55	95.3	30.1	31.9	2.6
2019-11-21	9-samo9_S9	P01-F04-30	S2	Spring	2019	18.706	2.9	16.3	7.88	50.6	0	8.03	100.5	30.4	32.96	0.7
