Date	Season	Z_m	Secchi_m	Temperature_C	pH	k_mS_cm_1	Turbidity_NTU	DO	Percent_DO	TDS	Salinity_ppt	Chla	Year
2020-01-28	Summer	18.7	3.3	21.26	8	48.7	0	8.42	114	29.7	31.74	2.4	2020
2018-08-07	Winter	19	2.4	11.43	8.08	43.8	4.83014	8.25	92.4	26.7	27.7	3.6	2018
2018-10-11	Spring	17	1.2	15.06	8.23	46.9	0	8.66	103.1	28.5	30.02	1.1	2018
2018-03-14	Summer	19.1	2.1	21.9	7.27	47.8	5.6	6.65	93.1	29.2	31.1	3.7	2018
2018-04-03	Autumn	18	1.6	21.1	7.38	47.1	8.2	6.79	92.8	28.7	30.5	2.4	2018
2018-04-25	Autumn	14	2.4	21.2	8.27	46.9	0	7.55	104	28.6	30.4	3.1	2018
2018-08-29	Winter	18.1	1	11.92	8.19	39.1	9.70922	10.45	116	23.8	24.4	33.4	2018
2018-12-10	Spring	18	1.9	20.76	8.59	26.3	1.4	9.5	116.2	16.1	16.4	9	2018
2019-07-11	Winter	18	1.2	16.08332	8.15	29.9	9.4	8.67	89.8	18.7	19.513592	2.1	2019
2019-12-04	Spring	18	2.3	19.78	7.99	41	0	7.81	99.8	25	26.17	1.5	2019
2019-12-17	Spring	18	1.2	21.62	7.96	41.1	8.8	9.19	121.4	25.1	26.31	0.9	2019
2019-08-28	Winter	18	2.6	11.77	8.11	51.8	0	7.94	90.2	31.1	33.33	0.7	2019
2019-09-11	Winter	18	2.1	12.69	8.32	37.3	0	9.53	104.1	22.8	23.27	7.2	2019
2019-09-18	Winter	18.3916	2.42782	15.45818	8.10210000000001	45.4148000000001	1.2702	8.06394000000001	97.5522000000002	27.8462000000001	29.303672	0.8	2019
2020-02-11	Summer	18	1.3	20.6	8.11	51.8	8.1	7.21	95.8	31.1	33.95	8.6	2020
2020-03-04	Summer	18	1.1	21.87	8.02	50.2	9.8	4.83	67.3	30.2	32.87	0.6	2020
2020-03-11	Summer	18	1.1	20.43	8.05	51.7	9.8	5.42	72.8	31	33.88	1.8	2020
2019-09-25	Spring	18	1.9	13.86	8.19	37.3	0	8.95	99.1	22.3	23.3	2.1	2019
2018-02-20	Summer	17.7	2.63	19.7	7.08	49.7	1.2	7.6	102	30.3	32.4	4.3	2018
2018-03-05	Summer	18	3.7	26.5	6.4	38.4	7.93	10.32	154.5	22.6	25.8	1.8	2018
2018-03-20	Summer	18	1	21.34	7.36	45.2	13.3	6	82.8	27.6	29.2	1.4	2018
2018-04-09	Autumn	12.5	3.8	27.8	7.72	35.8	1.7	7.8	104	21.9	22.6	0.5	2018
2018-04-18	Autumn	10.7	1.7	20.5	7.36	50.1	2.5	5.7	78	30	32.7	3.7	2018
2018-05-09	Autumn	17.2934	1.8	20.2	8.02	50.6	3.6	5.65	77.8	30.3	33	1.4	2018
2018-06-18	Autumn	14.9954	0.9	19.4563	7.97	22.3	30.2	6.62	90.5	13.9	18.6809	2.9	2018
2019-10-08	Spring	18	1.8	14.4	8.05	49.4	0	8.96	104	30.1	31.886	2.8	2019
2018-07-16	Winter	17.071	1.91506	17.20088	8.16032000000003	44.4278	2.06630000000001	7.7485	96.1390000000002	26.8964000000001	28.186808	4.9	2018
2018-07-24	Winter	12.5	2	17.4824	7.99	37.1	5.5	8.22	88.5	22.6	23.66654	1.3	2018
2018-09-05	Winter	16	1.1	12.66	8.5	41.6	20.6	12.5	143.1	25.4	26.2	15	2018
2018-09-27	Spring	17	1.6	13.4	8.13	49.4	2.2	8.3	96.1	30.2	31.85	2.4	2018
2018-10-24	Spring	18.8	1.6	17.1	8.26	46.2	1.1	7.57	93.9	28.2	29.77	1.5	2018
2018-11-06	Spring	17.7964	1.3	17.5	8.17	49.3	8.1	6.88	87.2	30.1	32.02	1.5	2018
2018-11-20	Spring	18.5	3.3	19.04	8.27	43.9	0	7.87	100.7	26.8	28.22	2.4	2018
2018-12-20	Spring	17	3	19.25	8.28	45.7	0.8	7.22	93.3	27.9	29.46	4.9	2018
2019-10-22	Spring	18	1.3	14.45	8.02	48.5	1	8.28	96.4	29.6	31.28	1.5	2019
2019-11-06	Spring	19	1.7	15.62	8.09	49.3	0	7.55	95.3	30.1	31.9	2.6	2019
2019-11-21	Spring	18.7062	2.9	16.3	7.88	50.6	0	8.03	100.5	30.4	32.96	0.7	2019
