pangea_id	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	sample	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	lat	lon	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	region	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com]	level
TARA_B100000965	04/15/2011 01:10 PM	-12.99	-95.99	57.6	20.6	35.5	216.8	1.5	0.16	0.78	5.7	1.9	41.8	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	3053	467	4404	4230	6.83	7.25	18465	0.738	384276	116141	500417	4501	14	TARA_100_DCM_0.22-3	ERS491874	ERR599081|ERR599113	http://www.ebi.ac.uk/ena/data/view/ERR599081,ERR599113	TARA_B100000965	http://www.pangaea.de/search?All&q=TARA_B100000965	TARA_100	2011-04-15 19:38:00	-12.9723	-96.0122	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000959	04/16/2011 04:09 PM	-12.93	-96.12	175.3	13	34.8	0.7	21.1	0.03	2.68	23.9	19.6	43.1	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	3172	505	4805	4686	6.68	7.23	17448	0.74	305319	0	305319	0	26	TARA_100_MES_0.22-3	ERS491913	ERR598946|ERR598953|ERR598981	http://www.ebi.ac.uk/ena/data/view/ERR598946,ERR598953,ERR598981	TARA_B100000959	http://www.pangaea.de/search?All&q=TARA_B100000959	TARA_100	2011-04-16 13:03:08	-12.9794	-96.0232	177	(DCM) deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100000963	04/15/2011 01:10 PM	-12.99	-95.99	5.5	25.3	35.8	200.2	4.6	0.14	0.68	6.2	1.2	41.8	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	2412	387	3504	3459	6.6	7.17	14283	0.749	464267	155789	620056	7780	14	TARA_100_SRF_0.22-3	ERS491836	ERR599063|ERR599163|ERR599169	http://www.ebi.ac.uk/ena/data/view/ERR599063,ERR599163,ERR599169	TARA_B100000963	http://www.pangaea.de/search?All&q=TARA_B100000963	TARA_100	2011-04-15 12:45:00	-13.0023	-95.9759	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000902	04/22/2011 07:51 PM	-5.27	-85.23	45.7	19.6	34.9	103.9	20.3	1.2	1.86	24.4	10.5	44.4	0	0.04	1.8	3.75	18	37	36	29	353	41	2931	448	4241	4111	6.78	7.17	15878	0.741	1071414	246947	1318361	13382	12	TARA_102_DCM_0.22-3	ERS492012	ERR598962|ERR599007|ERR599168	http://www.ebi.ac.uk/ena/data/view/ERR598962,ERR599007,ERR599168	TARA_B100000902	http://www.pangaea.de/search?All&q=TARA_B100000902	TARA_102	2011-04-22 21:13:00	-5.2669	-85.2732	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	DCM
TARA_B100000953	04/22/2011 02:16 PM	-5.27	-85.22	475.6	9.2	34.7	4.4	40	0.01	2.85	39.2	40.6	44.4	0	0.04	1.8	3.75	18	37	36	29	353	41	3108	491	4723	4643	6.68	7.19	17457	0.736	162019	0	162019	0	27	TARA_102_MES_0.22-3	ERS491980	ERR599055|ERR599128|ERR599132	http://www.ebi.ac.uk/ena/data/view/ERR599055,ERR599128,ERR599132	TARA_B100000953	http://www.pangaea.de/search?All&q=TARA_B100000953	TARA_102	2011-04-22 12:08:28	-5.261	-85.1678	480	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	MES
TARA_B100000900	04/21/2011 08:16 PM	-5.25	-85.16	5.5	24.9	34.7	206	11.7	0.32	1	12.6	5	42.1	0	0.04	1.8	3.75	18	37	36	29	353	41	2293	357	3198	3093	6.62	7.13	13566	0.75	1032721	192335	1225056	19091	12	TARA_102_SRF_0.22-3	ERS491938	ERR598943|ERR598978	http://www.ebi.ac.uk/ena/data/view/ERR598943,ERR598978	TARA_B100000900	http://www.pangaea.de/search?All&q=TARA_B100000900	TARA_102	2011-04-21 20:07:00	-5.2529	-85.1545	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	SRF
TARA_B100000927	05/13/2011 12:00 AM	2.08	-84.52	29.8	26.5	34.3	203.1	3.9	0.11	0.5	4.6	3.2	51.7	0.01	0.02	2.22	11.36	9	28	42	28	380	61	2501	401	3567	3451	6.68	7.17	15374	0.743	824281	155101	979382	4968	13	TARA_109_DCM_0.22-3	ERS492177	ERR598952|ERR599065|ERR599108	http://www.ebi.ac.uk/ena/data/view/ERR598952,ERR599065,ERR599108	TARA_B100000927	http://www.pangaea.de/search?All&q=TARA_B100000927	TARA_109	2011-05-12 22:15:00	2.0299	-84.5546	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	DCM
TARA_B100000929	05/13/2011 07:44 PM	2.07	-84.54	376.4	11.3	34.8	2.5	33.9	0.02	2.58	35.3	36.3	51.7	0.01	0.02	2.22	11.36	9	28	42	28	380	61	3372	531	4999	4927	6.83	7.29	18992	0.74	137487	0	137487	0	18	TARA_109_MES_0.22-3	ERS492205	ERR598971|ERR599067	http://www.ebi.ac.uk/ena/data/view/ERR598971,ERR599067	TARA_B100000929	http://www.pangaea.de/search?All&q=TARA_B100000929	TARA_109	2011-05-13 16:08:58	2.0649	-84.5546	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	MES
TARA_B100000925	05/12/2011 01:38 PM	1.99	-84.58	5.4	27.6	33.4	198.6	1.2	0.04	0.27	0.9	1.7	51.5	0.01	0.02	2.22	11.36	9	28	42	28	380	61	2356	388	3372	3269	6.65	7.17	15162	0.745	1053096	0	1053096	0	11	TARA_109_SRF_0.22-3	ERS492145	ERR598997|ERR599118	http://www.ebi.ac.uk/ena/data/view/ERR598997,ERR599118	TARA_B100000925	http://www.pangaea.de/search?All&q=TARA_B100000925	TARA_109	2011-05-12 14:00:00	1.9928	-84.5766	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	SRF
TARA_B100001113	05/21/2011 11:21 PM	-1.84	-84.63	48.7	21.8	35.1	144.6	10.9	0.41	0.93	10.7	6	46.5	0.02	0	0.43	7.03	22	41	81	29	347	253	2874	443	4207	4039	6.8	7.19	16528	0.74	NA	NA	NA	NA	10	TARA_110_DCM_0.22-3	ERS492264	ERR599014	http://www.ebi.ac.uk/ena/data/view/ERR599014	TARA_B100001113	http://www.pangaea.de/search?All&q=TARA_B100001113	TARA_110	2011-05-21 21:00:00	-1.9002	-84.6265	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100001079	05/22/2011 05:56 PM	-1.87	-84.62	376.9	10.3	34.8	1.3	34.6	0	2.8	38.1	35	46.5	0.02	0	0.43	7.03	22	41	81	29	347	253	4046	599	5912	5609	7.18	7.22	19565	0.731	85282	0	85282	0	18	TARA_110_MES_0.22-3	ERS492294	ERR599020	http://www.ebi.ac.uk/ena/data/view/ERR599020	TARA_B100001079	http://www.pangaea.de/search?All&q=TARA_B100001079	TARA_110	2011-05-22 13:20:00	-1.8902	-84.6141	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100001109	05/21/2011 12:37 PM	-2.01	-84.59	5.5	23.9	35	190.8	6.7	0.31	0.75	8.2	3.9	47.2	0.02	0	0.43	7.03	22	41	81	29	347	253	2640	415	3820	3631	6.73	7.18	15814	0.743	646867	189912	836779	12656	13	TARA_110_SRF_0.22-3	ERS492228	ERR599039	http://www.ebi.ac.uk/ena/data/view/ERR599039	TARA_B100001109	http://www.pangaea.de/search?All&q=TARA_B100001109	TARA_110	2011-05-21 12:27:00	-2.0133	-84.589	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000579	05/31/2011 09:23 PM	-16.96	-100.7	89	19.9	35.7	211.5	1.4	0.2	0.44	0.93	0.9	35.5	-0.05	0	1.04	69.36	67	83	80	29	301	248	2758	430	4020	3846	6.69	7.1	15057	0.738	603813	87283	691096	2476	12	TARA_111_DCM_0.22-3	ERS492357	ERR598961	http://www.ebi.ac.uk/ena/data/view/ERR598961	TARA_B100000579	http://www.pangaea.de/search?All&q=TARA_B100000579	TARA_111	2011-05-31 20:28:10	-16.9587	-100.6751	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100000586	06/01/2011 06:24 PM	-16.96	-100.66	347.1	10.9	34.7	3.2	30.4	0.01	2.73	34.61	26	34.4	-0.05	0	1.04	69.36	67	83	80	29	301	248	3033	489	4823	4702	6.67	7.14	17558	0.731	65052	0	65052	0	18	TARA_111_MES_0.22-3	ERS492381	ERR599086	http://www.ebi.ac.uk/ena/data/view/ERR599086	TARA_B100000586	http://www.pangaea.de/search?All&q=TARA_B100000586	TARA_111	2011-06-01 16:00:59	-16.9486	-100.6715	350	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100000575	05/31/2011 02:12 PM	-16.96	-100.63	5.9	22.8	36	208.9	2.6	0.04	0.5	2.68	1	34.2	-0.05	0	1.04	69.36	67	83	80	29	301	248	2470	390	3597	3453	6.63	7.13	14494	0.744	498513	112358	610871	5839	13	TARA_111_SRF_0.22-3	ERS492321	ERR599077	http://www.ebi.ac.uk/ena/data/view/ERR599077	TARA_B100000575	http://www.pangaea.de/search?All&q=TARA_B100000575	TARA_111	2011-05-31 14:25:00	-16.9601	-100.6335	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
